,senders,times
0,16,0.1
1,32,0.1
2,32,5.9
3,32,11.700000000000001
4,16,13.1
5,32,17.5
6,32,22.3
7,16,23.2
8,32,26.400000000000002
9,16,30.6
10,32,30.5
11,32,34.6
12,16,38.0
13,32,38.7
14,32,54.300000000000004
15,32,62.2
16,16,63.2
17,32,66.3
18,16,70.60000000000001
19,32,70.4
20,32,74.5
21,16,78.0
22,32,78.60000000000001
23,32,86.10000000000001
24,32,94.4
25,16,101.9
26,32,102.2
27,32,108.8
28,32,115.4
29,16,118.2
30,32,121.60000000000001
31,32,126.0
32,16,126.9
33,32,130.4
34,32,134.8
35,16,135.2
36,32,139.20000000000002
37,32,146.0
38,16,148.4
39,32,152.8
40,32,159.6
41,16,163.5
42,32,165.20000000000002
43,32,170.8
44,16,175.6
45,32,176.4
46,32,202.0
47,16,205.20000000000002
48,32,206.6
49,32,211.20000000000002
50,16,214.20000000000002
51,32,215.8
52,32,220.4
53,16,224.6
54,32,226.0
55,32,231.6
56,16,237.0
57,32,237.20000000000002
58,32,244.1
59,32,252.0
60,32,259.9
61,16,260.1
62,32,264.4
63,16,268.8
64,32,268.9
65,32,273.40000000000003
66,16,277.5
67,32,277.90000000000003
68,32,284.7
69,32,293.2
70,16,302.0
71,32,301.5
72,32,307.8
73,32,314.1
74,16,316.90000000000003
75,32,320.40000000000003
76,32,339.1
77,32,345.90000000000003
78,16,349.1
79,32,352.7
80,32,359.5
81,32,371.40000000000003
82,32,382.6
83,32,392.1
84,16,401.5
85,32,401.3
86,32,405.90000000000003
87,16,410.5
88,32,410.5
89,32,415.1
90,16,419.5
91,32,419.7
92,32,428.7
93,32,437.7
94,16,443.5
95,32,444.2
96,32,450.2
97,32,456.2
98,16,457.3
99,32,461.6
100,16,465.3
101,32,465.6
102,32,469.6
103,16,472.6
104,32,473.6
105,32,477.6
106,16,479.90000000000003
107,32,481.6
108,32,485.7
109,16,487.3
110,32,489.8
111,32,493.90000000000003
112,16,494.7
113,32,498.0
114,16,502.5
115,32,502.40000000000003
116,32,507.1
117,16,511.8
118,32,511.8
119,32,516.5
120,16,521.1
121,32,521.2
122,32,526.8
123,32,532.4
124,16,533.4
125,32,538.0
126,32,546.3000000000001
127,32,555.4
128,32,568.3000000000001
129,32,581.4
130,16,582.4
131,32,585.4
132,16,589.7
133,32,589.4
134,32,593.4
135,16,597.0
136,32,597.4
137,32,601.7
138,32,607.5
139,16,608.4
140,32,613.3000000000001
141,32,619.1
142,32,641.2
143,16,644.3000000000001
144,32,646.3000000000001
145,32,651.4
146,16,655.0
147,32,656.5
148,32,661.5
149,16,664.5
150,32,666.0
151,32,670.5
152,16,673.3000000000001
153,32,675.0
154,32,679.5
155,16,682.5
156,32,684.7
157,32,689.9
158,16,693.4
159,32,695.1
160,32,700.3000000000001
161,16,702.9
162,32,704.5
163,32,708.7
164,16,710.5
165,32,712.9
166,32,717.1
167,16,718.1
168,32,742.1
169,16,747.9
170,32,747.8000000000001
171,32,753.5
172,32,759.2
173,16,760.5
174,32,765.5
175,32,771.8000000000001
176,16,775.2
177,32,778.1
178,32,801.9
179,16,805.7
180,32,807.0
181,32,812.1
182,16,816.1
183,32,817.2
184,32,822.0
185,16,824.9
186,32,826.3000000000001
187,32,830.6
188,16,833.0
189,32,834.9
190,32,839.2
191,16,841.1
192,32,844.5
193,32,849.8000000000001
194,16,852.3000000000001
195,32,855.1
196,32,860.4
197,32,870.0
198,32,879.6
199,16,881.5
200,32,883.9
201,32,888.2
202,16,889.7
203,32,892.5
204,32,896.8000000000001
205,16,897.9
206,32,901.1
207,32,906.9
208,16,910.4
209,32,912.7
210,32,918.5
211,16,923.5
212,32,924.3000000000001
213,32,930.1
214,32,935.9
215,16,936.6
216,32,941.5
217,16,946.3000000000001
218,32,946.1
219,32,950.7
220,16,955.3000000000001
221,32,955.3000000000001
222,32,959.9
223,32,976.5
224,32,982.9
225,16,983.3000000000001
226,32,987.3000000000001
227,16,991.7
228,32,991.7
229,32,996.1
230,16,1000.1
231,32,1000.5
232,32,1005.4
233,16,1009.9
234,32,1010.3000000000001
235,32,1015.2
236,16,1019.7
237,32,1020.1
238,32,1024.6
239,16,1028.4
240,32,1029.1
241,32,1033.6
242,16,1037.1
243,32,1038.1
244,32,1048.4
245,32,1061.0
246,16,1063.0
247,32,1065.5
248,32,1070.0
249,16,1071.5
250,32,1074.5
251,32,1079.0
252,16,1080.0
253,32,1091.4
254,32,1121.3
255,16,1123.8
256,32,1125.6000000000001
257,32,1129.9
258,16,1131.9
259,32,1134.2
260,32,1138.5
261,16,1140.0
262,32,1142.8
263,16,1148.0
264,32,1147.1000000000001
265,32,1151.4
266,16,1156.0
267,32,1155.7
268,32,1160.0
269,16,1164.0
270,32,1164.2
271,32,1168.4
272,16,1171.9
273,32,1172.6000000000001
274,32,1176.8
275,16,1179.8
276,32,1181.0
277,32,1187.1000000000001
278,32,1193.2
279,16,1194.1000000000001
280,32,1199.3
281,32,1208.5
282,32,1217.7
283,32,1242.6000000000001
284,16,1245.9
285,32,1247.6000000000001
286,32,1252.6000000000001
287,16,1256.2
288,32,1257.6000000000001
289,32,1262.5
290,16,1265.8
291,32,1267.2
292,32,1271.9
293,16,1275.2
294,32,1276.6000000000001
295,32,1281.3
296,16,1284.0
297,32,1285.7
298,32,1290.1000000000001
299,16,1292.2
300,32,1294.5
301,32,1298.9
302,16,1300.4
303,32,1307.6000000000001
304,32,1316.6000000000001
305,32,1327.3
306,32,1338.6000000000001
307,16,1342.5
308,32,1344.0
309,32,1349.1000000000001
310,16,1352.9
311,32,1354.2
312,32,1359.3
313,16,1362.7
314,32,1363.7
315,32,1368.1000000000001
316,16,1371.2
317,32,1372.5
318,32,1376.9
319,16,1379.7
320,32,1381.3
321,32,1385.3
322,16,1387.1000000000001
323,32,1389.3
324,32,1393.3
325,16,1394.5
326,32,1397.3
327,32,1403.7
328,32,1419.9
329,16,1425.3
330,32,1426.0
331,32,1432.1000000000001
332,32,1438.2
333,16,1439.2
334,32,1442.8
335,16,1447.0
336,32,1447.0
337,32,1451.2
338,16,1454.8
339,32,1455.4
340,32,1459.6000000000001
341,16,1466.0
342,32,1466.2
343,32,1472.8
344,32,1479.4
345,16,1481.7
346,32,1484.7
347,32,1490.0
348,16,1493.0
349,32,1495.3
350,32,1500.6000000000001
351,32,1522.5
352,16,1525.6000000000001
353,32,1527.4
354,32,1532.3
355,16,1535.5
356,32,1537.2
357,32,1541.8
358,16,1544.0
359,32,1545.9
360,32,1550.0
361,16,1551.6000000000001
362,32,1554.1000000000001
363,32,1558.2
364,16,1559.2
365,32,1562.5
366,32,1566.9
367,16,1567.5
368,32,1571.3
369,16,1575.8
370,32,1575.7
371,32,1580.1000000000001
372,16,1583.9
373,32,1584.3
374,32,1588.5
375,16,1591.8
376,32,1592.7
377,32,1596.9
378,16,1599.7
379,32,1601.1000000000001
380,32,1606.1000000000001
381,16,1609.8
382,32,1611.1000000000001
383,32,1616.1000000000001
384,16,1619.9
385,32,1621.1000000000001
386,32,1631.2
