,senders,times
0,32,0.1
1,176,0.1
2,192,0.1
3,240,1.4000000000000001
4,96,2.5
5,144,2.9
6,272,2.6
7,112,3.9
8,160,3.9
9,224,3.8000000000000003
10,256,3.3000000000000003
11,80,4.7
12,16,5.4
13,32,6.0
14,48,5.7
15,96,6.3
16,128,6.9
17,176,6.8
18,192,6.3
19,208,6.3
20,64,7.5
21,144,7.8
22,240,7.3
23,272,7.4
24,112,9.8
25,96,10.1
26,160,10.1
27,256,11.0
28,32,11.9
29,224,11.8
30,16,12.200000000000001
31,80,12.700000000000001
32,144,12.700000000000001
33,192,12.5
34,272,12.200000000000001
35,48,13.4
36,96,13.9
37,176,13.5
38,240,13.200000000000001
39,112,15.700000000000001
40,160,16.3
41,208,16.6
42,272,17.0
43,32,17.8
44,64,17.1
45,96,17.7
46,144,17.6
47,16,19.0
48,128,18.5
49,192,18.7
50,256,18.7
51,224,19.8
52,240,19.1
53,80,20.7
54,176,20.2
55,48,21.1
56,96,21.3
57,112,21.400000000000002
58,144,21.8
59,160,21.8
60,272,21.5
61,32,22.5
62,16,23.6
63,64,23.7
64,192,23.2
65,208,23.900000000000002
66,240,23.2
67,256,23.8
68,96,24.3
69,176,24.7
70,224,24.8
71,272,25.0
72,48,26.0
73,80,25.7
74,112,25.5
75,128,25.400000000000002
76,144,25.400000000000002
77,160,26.0
78,32,26.6
79,96,27.3
80,192,27.5
81,240,27.3
82,16,28.1
83,144,29.0
84,256,28.7
85,272,28.5
86,64,29.400000000000002
87,112,29.6
88,176,29.2
89,224,29.8
90,32,30.7
91,48,30.900000000000002
92,80,30.7
93,96,30.3
94,160,30.2
95,208,30.1
96,192,31.8
97,240,31.400000000000002
98,272,32.0
99,16,32.6
100,128,32.1
101,144,32.6
102,96,33.3
103,112,33.7
104,176,33.7
105,256,33.6
106,32,34.800000000000004
107,160,34.4
108,224,34.800000000000004
109,48,35.800000000000004
110,64,35.1
111,80,35.7
112,240,35.5
113,272,35.5
114,96,36.300000000000004
115,144,36.2
116,192,36.1
117,208,36.300000000000004
118,16,37.1
119,112,37.800000000000004
120,32,38.9
121,128,38.800000000000004
122,160,38.6
123,176,38.2
124,256,38.5
125,272,39.0
126,96,39.300000000000004
127,144,39.800000000000004
128,224,39.800000000000004
129,240,39.6
130,48,40.7
131,64,40.800000000000004
132,80,40.7
133,192,40.4
134,96,46.2
135,112,49.6
136,272,51.5
137,144,52.6
138,96,53.1
139,32,54.7
140,240,57.5
141,96,60.0
142,176,59.6
143,192,59.5
144,16,60.9
145,160,60.800000000000004
146,48,62.0
147,112,61.7
148,144,61.6
149,224,62.0
150,256,61.7
151,272,61.5
152,32,62.300000000000004
153,64,62.800000000000004
154,80,62.1
155,96,63.0
156,208,62.1
157,240,62.9
158,128,63.1
159,192,63.800000000000004
160,160,65.0
161,176,64.1
162,272,65.0
163,16,65.4
164,96,66.0
165,112,65.8
166,144,65.2
167,32,66.4
168,48,66.9
169,240,67.0
170,256,66.6
171,80,67.1
