,senders,times
0,112,0.1
1,128,0.1
2,48,2.5
3,112,3.5
4,16,4.8
5,32,4.9
6,64,4.4
7,80,5.1000000000000005
8,128,5.5
9,112,6.9
10,96,7.4
11,48,9.700000000000001
12,64,10.4
13,112,10.3
14,128,10.9
15,16,12.0
16,80,12.1
17,32,13.8
18,112,13.700000000000001
19,48,16.9
20,64,16.4
21,96,17.0
22,128,16.3
23,112,17.1
24,16,19.2
25,80,19.1
26,112,20.5
27,32,21.8
28,64,21.8
29,128,21.5
30,48,22.6
31,16,24.0
32,80,23.8
33,96,23.7
34,112,23.3
35,64,25.900000000000002
36,128,25.400000000000002
37,112,26.1
38,32,27.3
39,48,27.3
40,16,28.8
41,80,28.5
42,112,28.900000000000002
43,64,30.0
44,96,29.400000000000002
45,128,29.3
46,48,32.0
47,112,31.7
48,32,32.8
49,16,33.6
50,80,33.2
51,128,33.2
52,64,34.1
53,112,34.5
54,96,35.1
55,48,36.7
56,80,37.9
57,112,37.300000000000004
58,128,37.1
59,16,38.4
60,32,38.300000000000004
61,64,38.2
62,96,40.800000000000004
63,112,40.1
64,128,41.0
65,112,46.5
66,112,52.9
67,128,54.6
68,64,55.9
69,80,57.7
70,112,59.300000000000004
71,16,61.4
72,48,61.2
73,32,62.1
74,64,62.6
75,96,62.7
76,112,62.1
77,128,62.1
78,80,63.5
79,112,64.9
80,48,65.9
81,128,66.0
82,16,66.2
83,64,66.7
84,32,67.6
85,112,67.7
86,80,68.2
87,96,68.4
88,128,69.9
89,16,71.0
90,48,70.60000000000001
91,64,70.8
92,112,70.5
93,80,72.9
94,32,73.10000000000001
95,112,73.3
96,128,73.8
97,64,74.9
98,96,74.10000000000001
99,16,75.8
100,48,75.3
101,112,76.10000000000001
102,80,77.60000000000001
103,128,77.7
104,32,78.60000000000001
105,64,79.0
106,112,78.9
107,48,80.0
108,96,79.8
109,16,80.60000000000001
110,112,82.7
111,128,82.7
112,80,85.4
113,112,86.9
114,64,87.7
115,128,90.2
116,16,91.7
117,48,91.10000000000001
118,112,91.10000000000001
119,32,93.0
120,80,95.8
121,112,95.3
122,64,96.60000000000001
123,96,97.5
124,128,97.7
125,112,99.5
126,48,101.8
127,16,102.2
128,112,103.2
129,64,104.10000000000001
130,80,104.60000000000001
131,128,104.10000000000001
132,32,105.3
133,112,106.9
134,96,109.60000000000001
135,16,110.60000000000001
136,48,110.2
137,64,111.0
138,112,110.60000000000001
139,128,110.2
140,80,112.7
141,112,114.3
142,32,116.0
143,128,116.3
144,64,117.9
145,112,118.0
146,16,119.0
147,48,118.60000000000001
148,80,120.8
149,96,121.2
150,112,121.4
151,128,121.8
152,64,122.9
153,32,123.5
154,48,123.9
155,16,124.2
156,112,124.3
157,80,125.9
158,128,126.0
159,64,127.4
160,96,127.5
161,112,127.2
162,48,129.0
163,16,129.4
164,32,129.6
165,80,131.0
166,112,130.1
167,128,130.2
168,64,131.9
169,112,133.0
170,96,133.8
171,16,134.6
172,48,134.1
173,128,134.4
174,32,135.7
175,112,135.9
176,64,136.4
177,80,136.1
178,112,138.8
179,128,138.6
180,16,139.8
181,48,139.20000000000002
182,64,140.9
183,96,140.1
184,80,141.4
185,32,142.9
186,112,142.20000000000002
187,128,144.4
188,112,145.9
189,48,147.8
190,64,148.0
191,16,148.5
192,80,149.70000000000002
193,112,149.6
194,128,150.70000000000002
195,96,152.3
196,32,154.0
197,112,153.3
198,64,155.1
199,48,156.4
200,112,157.0
201,128,157.0
202,16,157.20000000000002
203,80,158.0
204,112,160.70000000000002
205,64,161.9
206,128,162.70000000000002
207,32,163.70000000000002
208,48,163.8
209,96,163.20000000000002
210,112,164.0
211,16,164.5
212,80,164.9
213,64,167.6
214,112,167.3
215,128,167.9
216,48,170.6
217,112,170.6
218,16,171.3
219,80,171.6
220,32,172.1
221,96,172.1
222,64,173.3
223,112,173.9
224,128,173.1
225,48,177.4
226,112,177.20000000000002
227,16,178.1
228,64,179.0
229,80,178.3
230,128,178.3
231,32,180.5
232,96,181.0
233,112,180.5
234,112,198.8
235,112,202.0
236,128,201.8
237,16,203.0
238,48,203.0
239,64,202.6
240,80,202.6
241,32,204.1
242,96,204.6
243,112,205.0
244,128,206.20000000000002
245,64,207.3
246,80,208.0
247,112,208.0
248,16,208.5
249,48,208.4
250,32,210.6
251,112,211.0
252,128,210.6
253,64,212.0
254,96,211.4
255,16,214.0
256,48,213.8
257,80,213.4
258,112,214.0
259,128,215.0
260,64,216.70000000000002
261,112,217.0
262,32,217.1
263,80,218.8
264,96,218.20000000000002
265,16,219.5
266,48,219.20000000000002
267,112,220.0
268,128,219.4
269,64,221.5
270,112,223.3
271,32,224.9
272,128,224.70000000000002
273,80,225.5
274,16,226.5
275,48,226.1
276,96,227.0
277,112,226.6
278,64,227.3
279,112,229.9
280,128,230.0
281,48,233.0
282,80,232.3
283,16,233.5
284,32,233.4
285,64,233.1
286,112,233.20000000000002
287,128,235.3
288,96,236.1
289,112,236.5
290,64,238.9
291,48,239.9
292,80,239.1
293,112,239.8
294,16,240.5
295,128,240.6
296,32,243.1
297,112,243.9
298,64,247.20000000000002
299,112,248.0
300,128,247.8
301,80,249.0
302,16,251.0
303,48,250.4
304,96,250.4
305,112,252.1
306,128,255.0
307,64,255.6
308,112,256.2
309,32,257.3
310,80,258.9
311,48,260.9
312,112,260.3
313,16,261.3
314,128,261.6
315,64,262.2
316,96,262.4
317,112,263.2
318,32,264.5
319,80,264.3
320,128,265.9
321,16,266.6
322,48,266.2
323,64,266.8
324,112,266.1
325,96,269.0
326,112,269.0
327,80,269.6
328,32,270.8
329,128,270.2
330,16,271.9
331,48,271.5
332,64,271.4
333,112,271.9
334,80,274.90000000000003
335,112,274.8
336,128,274.5
337,64,276.0
338,96,275.6
339,48,276.8
340,16,277.2
341,32,277.1
342,112,277.7
343,128,278.8
344,64,280.6
345,80,280.2
346,112,280.6
347,48,284.5
348,112,284.90000000000003
349,16,285.8
350,96,286.90000000000003
351,128,286.1
352,32,289.90000000000003
353,64,289.7
354,112,289.2
355,80,290.8
356,112,293.5
357,128,293.8
358,48,295.90000000000003
359,16,297.2
360,112,297.8
361,64,298.8
362,80,301.3
363,112,301.8
364,128,301.3
365,96,302.8
366,32,303.3
367,48,304.8
368,16,305.7
369,64,305.40000000000003
370,112,305.40000000000003
371,128,307.2
372,80,309.0
373,112,309.0
374,64,312.0
375,48,312.7
376,112,312.6
377,16,313.7
378,32,313.3
379,96,313.7
380,128,313.1
381,80,316.7
382,112,316.2
383,64,318.6
384,128,319.0
385,112,319.8
386,48,320.6
387,112,326.40000000000003
388,112,333.0
389,128,333.40000000000003
390,112,339.6
391,80,340.6
392,16,341.5
393,64,341.3
394,48,342.90000000000003
395,128,343.0
396,32,343.8
397,112,343.3
398,96,345.40000000000003
399,112,347.0
400,64,348.5
401,80,349.0
402,128,349.3
403,16,350.3
404,112,350.7
405,48,351.6
406,112,354.40000000000003
407,32,355.1
408,64,355.7
409,128,355.6
410,80,357.40000000000003
411,96,357.8
412,112,358.1
413,16,359.1
414,48,360.3
415,112,362.5
416,128,362.90000000000003
417,64,365.90000000000003
418,112,367.7
419,80,371.8
420,112,372.90000000000003
421,128,373.2
422,16,377.40000000000003
423,48,379.0
424,112,378.1
425,64,379.40000000000003
426,112,382.90000000000003
427,128,382.90000000000003
428,32,383.1
429,80,385.3
430,112,387.5
431,64,389.8
432,16,391.0
433,96,390.5
434,128,391.40000000000003
435,48,392.40000000000003
436,112,392.1
437,112,396.7
438,80,397.40000000000003
439,128,399.90000000000003
440,64,400.2
441,16,401.90000000000003
442,32,401.40000000000003
