,senders,times
0,16,0.1
1,64,0.1
2,240,0.1
3,320,0.1
4,384,0.1
5,160,2.0
6,288,1.7
7,416,1.8
8,192,2.7
9,224,2.4
10,272,2.7
11,400,2.3000000000000003
12,176,3.8000000000000003
13,208,4.3
14,16,5.3
15,32,5.2
16,64,5.3
17,112,5.5
18,128,5.2
19,240,5.7
20,304,5.2
21,80,6.7
22,144,6.1000000000000005
23,352,6.7
24,160,7.6000000000000005
25,256,7.3
26,320,7.9
27,192,8.6
28,224,8.1
29,272,8.9
30,288,8.3
31,336,8.8
32,384,8.2
33,400,8.700000000000001
34,176,9.6
35,368,9.200000000000001
36,16,10.5
37,48,10.3
38,64,10.5
39,416,10.1
40,96,11.1
41,208,11.5
42,240,11.3
43,304,11.700000000000001
44,32,13.0
45,112,13.4
46,128,13.1
47,160,13.200000000000001
48,224,13.8
49,80,14.700000000000001
50,192,14.5
51,288,14.9
52,16,15.700000000000001
53,64,15.700000000000001
54,144,15.1
55,176,15.4
56,272,15.1
57,320,15.700000000000001
58,400,15.1
59,240,16.9
60,256,17.0
61,384,16.3
62,352,17.6
63,160,18.8
64,208,18.7
65,304,18.2
66,416,18.400000000000002
67,224,19.5
68,368,19.6
69,16,20.900000000000002
70,32,20.8
71,64,20.900000000000002
72,128,21.0
73,192,20.400000000000002
74,48,21.400000000000002
75,80,21.8
76,112,21.2
77,176,21.2
78,240,21.8
79,272,21.2
80,288,21.3
81,336,21.400000000000002
82,400,21.3
83,144,22.5
84,160,22.900000000000002
85,304,23.0
86,320,22.3
87,384,22.8
88,208,23.7
89,224,23.5
90,256,23.8
91,416,24.0
92,16,24.6
93,64,24.6
94,96,24.7
95,192,24.400000000000002
96,352,24.5
97,32,25.8
98,176,25.3
99,240,25.7
100,272,25.400000000000002
101,288,25.7
102,368,25.7
103,400,25.6
104,80,26.8
105,112,26.400000000000002
106,128,26.1
107,160,26.900000000000002
108,224,27.5
109,304,27.400000000000002
110,320,27.400000000000002
111,16,28.3
112,48,28.1
113,64,28.3
114,144,28.1
115,192,28.400000000000002
116,208,28.5
117,336,28.5
118,384,28.1
119,176,29.400000000000002
120,240,29.6
121,256,29.7
122,272,29.6
123,400,29.900000000000002
124,416,29.3
125,32,30.8
126,160,30.900000000000002
127,288,30.1
128,352,30.8
129,16,32.0
130,64,32.0
131,80,31.8
132,112,31.6
133,128,31.2
134,224,31.5
135,304,31.8
136,368,31.8
137,192,32.4
138,320,32.5
139,144,33.7
140,176,33.5
141,208,33.3
142,240,33.5
143,272,33.8
144,384,33.4
145,48,34.800000000000004
146,96,34.6
147,160,34.9
148,288,34.5
149,400,34.2
150,416,34.6
151,16,35.7
152,32,35.800000000000004
153,64,35.7
154,224,35.5
155,256,35.6
156,336,35.6
157,80,36.800000000000004
158,112,36.800000000000004
159,128,36.300000000000004
160,192,36.4
161,304,36.2
162,176,37.6
163,240,37.4
164,272,38.0
165,320,37.6
166,352,37.1
167,368,37.9
168,160,38.9
169,208,38.1
170,288,38.9
171,384,38.7
172,400,38.5
173,16,39.4
174,64,39.4
175,144,39.300000000000004
176,224,39.5
177,416,39.9
178,32,40.800000000000004
179,192,40.4
180,304,40.6
181,240,43.6
182,176,46.4
183,16,52.6
184,64,53.300000000000004
185,160,54.9
186,224,56.0
187,272,56.800000000000004
188,240,59.7
189,112,60.800000000000004
190,400,61.0
191,16,61.7
192,32,61.9
193,64,61.800000000000004
194,80,61.7
195,128,61.300000000000004
196,176,61.2
197,192,61.2
198,208,61.2
199,256,62.0
200,288,61.300000000000004
201,304,61.300000000000004
202,320,61.5
203,384,61.4
204,416,62.0
205,48,62.4
206,144,62.300000000000004
207,160,62.300000000000004
208,224,62.5
209,272,62.9
210,352,62.7
211,368,62.7
212,240,63.6
213,336,63.1
214,96,65.0
215,16,65.5
216,64,65.5
217,112,66.0
218,176,65.3
219,192,65.2
220,208,66.0
221,288,65.8
222,304,65.7
223,400,65.3
