,senders,times
0,160,0.1
1,32,1.9000000000000001
2,96,1.6
3,112,1.6
4,192,1.7
5,16,2.9
6,64,2.8000000000000003
7,176,3.0
8,48,3.9
9,80,4.5
10,128,5.6000000000000005
11,96,6.7
12,112,6.1000000000000005
13,160,6.6000000000000005
14,192,6.8
15,64,7.8
16,176,8.8
17,16,9.9
18,48,10.3
19,112,10.6
20,144,10.4
21,96,11.8
22,192,11.9
23,32,12.8
24,64,12.8
25,128,12.5
26,80,13.700000000000001
27,160,13.1
28,176,14.6
29,112,15.1
30,16,16.9
31,48,16.7
32,96,16.9
33,192,17.0
34,64,17.8
35,112,19.6
36,128,19.400000000000002
37,160,19.6
38,176,20.400000000000002
39,64,22.0
40,80,21.900000000000002
41,96,21.6
42,192,21.6
43,16,22.5
44,32,22.2
45,48,22.1
46,112,23.0
47,128,24.0
48,144,24.0
49,160,24.0
50,176,24.5
51,64,25.6
52,96,25.3
53,192,25.3
54,48,26.400000000000002
55,112,26.400000000000002
56,16,27.1
57,80,27.400000000000002
58,32,28.7
59,96,29.0
60,128,28.6
61,160,28.400000000000002
62,176,28.6
63,192,29.0
64,64,29.2
65,112,29.8
66,48,30.7
67,16,31.7
68,64,32.8
69,80,32.9
70,96,32.7
71,160,32.8
72,176,32.7
73,192,32.7
74,112,33.2
75,128,33.2
76,144,33.3
77,48,35.0
78,32,35.2
79,16,36.300000000000004
80,64,36.4
81,96,36.4
82,112,36.6
83,176,36.800000000000004
84,192,36.4
85,128,37.800000000000004
86,160,37.2
87,80,38.4
88,48,39.300000000000004
89,64,40.0
90,112,40.0
91,16,40.9
92,96,40.1
93,176,40.9
94,192,40.1
95,112,50.4
96,160,50.6
97,64,53.2
98,96,53.1
99,192,53.2
100,176,57.0
101,112,60.800000000000004
102,16,61.7
103,48,61.300000000000004
104,64,61.7
105,96,61.7
106,128,61.2
107,192,61.7
108,32,62.2
109,80,62.4
110,160,62.1
111,176,62.7
112,112,64.2
113,144,64.6
114,48,65.6
115,64,65.3
116,96,65.4
117,128,65.8
118,192,65.4
119,16,66.3
120,160,66.5
121,176,66.8
122,80,67.9
123,112,67.6
124,32,68.7
125,64,68.9
126,48,69.9
127,96,69.10000000000001
128,192,69.10000000000001
129,16,70.9
130,112,71.0
131,128,70.4
132,160,70.9
133,176,70.9
134,64,72.5
135,96,72.8
136,192,72.8
137,80,73.4
138,144,73.9
139,48,74.2
140,112,74.4
141,128,75.0
142,176,75.0
143,16,75.5
144,32,75.2
145,160,75.3
146,64,76.10000000000001
147,96,76.5
148,192,76.5
149,112,77.8
150,48,78.5
151,80,78.9
152,64,79.7
153,128,79.60000000000001
154,160,79.7
155,176,79.10000000000001
156,16,80.10000000000001
157,96,80.2
158,192,80.2
159,112,81.3
160,32,85.2
161,64,86.60000000000001
162,48,87.10000000000001
163,96,87.2
164,112,87.3
165,176,87.3
166,192,87.2
167,160,89.4
