,senders,times
0,112,2.5
1,160,3.0
2,16,3.6
3,144,4.0
4,48,4.6000000000000005
5,80,4.6000000000000005
6,176,4.3
7,192,4.9
8,64,6.0
9,96,6.7
10,208,6.8
11,32,7.3
12,112,8.2
13,144,9.3
14,16,11.200000000000001
15,48,11.200000000000001
16,160,11.3
17,176,12.700000000000001
18,64,13.3
19,80,13.5
20,112,13.9
21,192,13.4
22,128,14.5
23,144,14.6
24,96,15.6
25,208,15.3
26,48,17.8
27,16,18.8
28,112,19.6
29,144,19.900000000000002
30,160,19.6
31,32,20.1
32,64,20.6
33,80,21.7
34,176,21.1
35,192,21.5
36,48,22.8
37,96,22.7
38,208,22.3
39,16,23.900000000000002
40,112,23.6
41,144,23.7
42,128,24.5
43,160,24.8
44,64,25.3
45,176,26.5
46,192,26.8
47,32,27.2
48,48,27.2
49,80,27.2
50,112,27.6
51,144,27.5
52,208,27.5
53,16,28.8
54,96,28.2
55,64,30.0
56,160,30.0
57,48,31.6
58,112,31.6
59,144,31.3
60,176,31.900000000000002
61,80,32.7
62,128,32.3
63,192,32.1
64,208,32.7
65,16,33.7
66,96,33.7
67,32,34.300000000000004
68,64,34.7
69,48,36.0
70,112,35.6
71,144,35.1
72,160,35.2
73,176,37.300000000000004
74,192,37.4
75,208,37.9
76,16,38.6
77,80,38.2
78,144,38.9
79,64,39.4
80,96,39.2
81,112,39.6
82,48,40.4
83,128,40.1
84,160,40.4
85,144,52.4
86,112,59.300000000000004
87,16,61.6
88,48,61.5
89,64,61.7
90,80,62.0
91,144,61.7
92,176,61.6
93,192,61.800000000000004
94,208,62.0
95,32,62.9
96,96,62.4
97,160,62.2
98,112,63.300000000000004
99,128,64.5
100,48,65.9
101,144,65.5
102,16,66.6
103,64,66.5
104,176,67.0
105,80,67.5
106,96,67.9
107,112,67.3
108,160,67.4
109,192,67.1
110,208,67.3
111,32,70.0
112,144,69.3
113,48,70.3
114,16,71.60000000000001
115,64,71.3
116,112,71.3
117,80,73.0
118,128,72.4
119,160,72.60000000000001
120,176,72.4
121,192,72.4
122,208,72.60000000000001
123,96,73.4
124,144,73.10000000000001
125,48,74.7
126,112,75.3
127,16,76.60000000000001
128,64,76.10000000000001
129,144,76.9
130,32,77.10000000000001
131,160,77.8
132,176,77.8
133,192,77.7
134,208,77.9
135,80,78.5
136,96,78.9
137,48,79.10000000000001
138,112,79.3
139,64,80.9
140,128,80.3
141,144,80.7
142,16,83.0
143,112,87.60000000000001
144,144,88.10000000000001
145,176,89.0
146,48,89.2
147,160,89.2
148,192,89.10000000000001
149,208,90.2
150,64,92.60000000000001
151,80,92.2
152,16,95.0
153,96,94.2
154,112,95.9
155,144,95.5
156,48,99.3
157,32,102.0
158,176,101.9
159,144,102.4
160,160,102.2
161,192,102.2
162,64,103.10000000000001
163,112,103.2
164,208,103.10000000000001
165,16,105.0
166,80,104.60000000000001
167,48,106.9
168,96,106.3
169,144,108.4
170,112,109.7
171,128,109.60000000000001
172,64,111.7
173,176,111.8
174,160,112.10000000000001
175,192,112.3
176,16,114.0
177,208,113.3
178,48,114.5
179,144,114.4
180,80,115.10000000000001
181,112,116.2
182,96,117.10000000000001
183,32,118.4
184,64,120.3
185,144,120.4
186,16,121.9
187,48,121.60000000000001
188,112,121.9
189,160,121.5
190,176,121.4
191,192,121.60000000000001
192,208,122.10000000000001
193,80,123.10000000000001
194,128,123.60000000000001
195,96,124.10000000000001
196,144,124.5
197,64,125.5
198,32,126.60000000000001
199,48,126.3
200,112,126.2
201,16,127.3
202,160,127.2
203,176,127.3
204,192,127.4
205,208,127.9
206,144,128.6
207,80,129.2
208,48,131.0
209,64,130.7
210,96,130.1
211,112,130.5
212,16,132.7
213,128,132.5
214,144,132.7
215,160,132.9
216,176,133.2
217,192,133.2
218,208,133.7
219,32,134.5
220,112,134.8
221,48,135.7
222,64,135.9
223,80,135.3
224,96,136.1
225,144,136.8
226,16,138.1
227,160,138.6
228,192,139.0
229,112,139.1
230,176,139.1
231,208,139.5
232,48,140.4
233,144,140.9
234,64,141.1
235,80,141.8
236,128,143.0
237,96,143.9
238,32,145.9
239,112,145.8
240,16,146.5
241,144,147.0
242,48,148.3
243,160,148.4
244,64,150.0
245,176,149.3
246,192,149.3
247,208,150.1
248,80,152.70000000000002
249,112,152.5
250,144,153.1
251,16,155.70000000000002
252,96,155.1
253,48,156.20000000000002
254,64,158.9
255,160,158.6
256,112,159.20000000000002
257,144,159.20000000000002
258,176,159.5
259,192,159.70000000000002
260,208,160.70000000000002
261,32,162.1
262,80,162.70000000000002
263,16,163.70000000000002
264,48,163.20000000000002
265,128,163.1
266,96,164.5
267,112,164.6
268,144,164.3
269,64,165.9
270,160,166.5
271,176,167.4
272,192,167.70000000000002
273,208,168.70000000000002
274,48,169.4
275,112,170.0
276,144,169.4
277,16,170.9
278,80,171.0
279,64,172.8
280,96,172.9
281,32,173.9
282,144,174.5
283,160,174.3
284,48,175.6
285,112,175.4
286,176,175.3
287,192,175.70000000000002
288,208,176.70000000000002
289,128,177.20000000000002
290,16,178.1
291,64,179.70000000000002
292,80,179.3
293,144,179.6
294,112,180.8
295,144,202.0
296,48,202.70000000000002
297,112,202.5
298,16,203.20000000000002
299,64,203.4
300,80,203.9
301,96,203.6
302,160,203.4
303,176,203.20000000000002
304,192,203.4
305,208,203.8
306,32,205.4
307,112,207.0
308,128,207.0
309,144,206.3
310,48,207.70000000000002
311,16,208.9
312,64,208.9
313,160,209.5
314,176,209.5
315,192,209.6
316,208,210.0
317,80,210.4
318,96,210.1
319,144,210.6
320,112,211.5
321,48,212.70000000000002
322,32,214.0
323,16,214.6
324,64,214.4
325,144,214.9
326,112,216.0
327,160,215.6
328,176,215.8
329,192,215.8
330,80,216.9
331,96,216.6
332,128,216.8
333,208,216.20000000000002
334,48,217.70000000000002
335,64,219.9
336,144,219.20000000000002
337,16,220.3
338,112,220.5
339,160,222.0
340,176,222.5
341,192,222.5
342,32,223.70000000000002
343,48,223.5
344,208,223.1
345,80,224.6
346,96,224.1
347,144,224.4
348,112,226.0
349,64,226.9
350,16,227.6
351,48,229.8
352,144,229.6
353,160,229.9
354,128,230.4
355,176,230.6
356,192,230.6
357,112,231.5
358,208,231.20000000000002
359,96,232.6
360,64,233.9
361,80,233.1
362,16,234.9
363,144,234.8
364,32,235.8
365,48,236.1
366,112,237.0
367,160,237.8
368,176,238.70000000000002
369,192,238.70000000000002
370,144,240.0
371,208,239.3
372,64,240.9
373,96,241.1
374,80,242.20000000000002
375,16,243.4
376,48,243.6
377,112,243.70000000000002
378,144,247.1
379,160,250.1
380,64,251.9
381,112,251.6
382,176,251.1
383,192,251.6
384,208,252.8
385,48,253.1
386,16,254.70000000000002
