,senders,times
0,112,0.1
1,16,4.2
2,32,4.3
3,48,4.6000000000000005
4,80,4.5
5,112,4.1
6,128,4.5
7,96,8.700000000000001
8,112,8.1
9,160,10.1
10,16,12.0
11,32,12.0
12,48,11.200000000000001
13,64,11.8
14,80,11.8
15,112,12.1
16,128,13.200000000000001
17,112,16.1
18,48,17.8
19,96,19.0
20,144,18.2
21,16,19.8
22,32,19.7
23,80,19.1
24,112,20.1
25,128,21.400000000000002
26,160,22.0
27,48,22.8
28,64,23.400000000000002
29,80,23.8
30,112,23.2
31,16,24.8
32,32,24.6
33,96,25.2
34,112,26.3
35,128,26.7
36,48,27.3
37,80,28.5
38,16,29.8
39,32,29.5
40,112,29.400000000000002
41,144,29.3
42,160,29.400000000000002
43,48,31.8
44,64,31.5
45,96,31.400000000000002
46,128,32.0
47,112,32.5
48,80,33.2
49,16,34.800000000000004
50,32,34.4
51,112,35.6
52,48,36.300000000000004
53,160,36.800000000000004
54,80,37.9
55,96,37.6
56,128,37.300000000000004
57,112,38.7
58,16,39.800000000000004
59,32,39.300000000000004
60,64,39.6
61,48,40.800000000000004
62,144,40.1
63,112,45.5
64,112,53.800000000000004
65,16,61.9
66,32,61.800000000000004
67,48,61.300000000000004
68,80,61.5
69,112,61.300000000000004
70,96,62.4
71,128,62.1
72,160,63.5
73,64,64.4
74,112,64.4
75,48,65.8
76,16,66.9
77,32,66.7
78,80,66.3
79,144,66.9
80,112,67.5
81,128,67.4
82,96,68.60000000000001
83,48,70.3
84,112,70.60000000000001
85,160,70.9
86,16,71.9
87,32,71.60000000000001
88,80,71.10000000000001
89,64,72.60000000000001
90,128,72.7
91,112,73.7
92,48,74.8
93,96,74.8
94,80,75.9
95,16,76.9
96,32,76.5
97,112,76.8
98,128,78.0
99,144,77.7
100,160,78.3
101,48,79.3
102,112,79.9
103,64,80.8
104,80,80.7
105,96,81.0
106,32,82.60000000000001
107,16,84.7
108,112,85.10000000000001
109,48,89.0
110,112,90.3
111,128,91.2
112,80,92.3
113,32,94.9
114,112,95.5
115,16,97.5
116,48,98.7
117,96,99.3
118,112,100.7
119,80,102.8
120,32,105.0
121,128,104.10000000000001
122,160,104.10000000000001
123,112,105.10000000000001
124,48,106.4
125,16,107.10000000000001
126,64,108.60000000000001
127,112,109.5
128,80,111.4
129,96,111.8
130,48,114.0
131,112,113.9
132,32,114.10000000000001
133,128,114.60000000000001
