,senders,times
0,208,0.1
1,256,0.1
2,64,1.8
3,112,2.8000000000000003
4,224,2.4
5,352,2.8000000000000003
6,80,3.3000000000000003
7,160,3.8000000000000003
8,176,3.7
9,368,3.9
10,208,4.7
11,272,4.8
12,288,4.1
13,144,5.6000000000000005
14,192,5.2
15,256,5.7
16,320,5.3
17,336,5.5
18,32,6.2
19,48,6.4
20,112,7.0
21,304,6.5
22,240,7.3
23,64,8.700000000000001
24,224,9.0
25,16,9.3
26,96,9.5
27,208,9.3
28,176,10.4
29,288,10.8
30,352,10.700000000000001
31,80,11.9
32,112,11.200000000000001
33,192,11.8
34,256,11.3
35,272,11.6
36,368,11.3
37,144,13.4
38,160,13.4
39,208,13.9
40,336,13.1
41,48,14.9
42,320,14.1
43,32,15.700000000000001
44,64,15.6
45,112,15.4
46,128,15.200000000000001
47,224,15.6
48,304,15.4
49,256,16.9
50,176,17.1
51,240,17.7
52,288,17.5
53,192,18.400000000000002
54,208,18.5
55,272,18.400000000000002
56,352,18.6
57,368,18.7
58,16,19.900000000000002
59,112,19.6
60,80,20.5
61,96,20.2
62,336,20.7
63,64,21.8
64,144,21.2
65,160,21.900000000000002
66,224,21.7
67,256,21.8
68,320,21.900000000000002
69,32,23.0
70,48,22.1
71,112,22.8
72,176,22.5
73,208,22.2
74,288,22.7
75,304,22.6
76,192,23.1
77,272,23.2
78,352,23.900000000000002
79,368,23.7
80,240,24.6
81,80,25.900000000000002
82,112,26.0
83,208,25.7
84,256,25.8
85,336,25.7
86,16,26.5
87,64,26.400000000000002
88,96,26.3
89,128,26.1
90,144,26.2
91,176,27.0
92,224,26.1
93,48,27.400000000000002
94,160,27.7
95,192,27.5
96,272,27.7
97,288,27.1
98,320,27.3
99,32,28.7
100,304,28.1
101,352,29.0
102,368,28.6
103,112,29.2
104,208,29.2
105,256,29.8
106,64,31.0
107,224,30.5
108,240,30.900000000000002
109,336,30.7
110,80,31.3
111,144,31.2
112,176,31.5
113,192,31.900000000000002
114,288,31.5
115,48,32.7
116,96,32.4
117,112,32.4
118,208,32.7
119,272,32.2
120,320,32.7
121,16,33.1
122,160,33.5
123,256,33.8
124,304,33.6
125,368,33.5
126,32,34.4
127,224,34.9
128,352,34.1
129,64,35.6
130,112,35.6
131,128,35.300000000000004
132,176,36.0
133,288,35.9
134,336,35.7
135,80,36.7
136,144,36.2
137,192,36.300000000000004
138,208,36.2
139,272,36.7
140,48,38.0
141,240,37.2
142,256,37.800000000000004
143,96,38.5
144,112,38.800000000000004
145,320,38.1
146,368,38.4
147,16,39.7
148,160,39.300000000000004
149,208,39.7
150,224,39.300000000000004
151,304,39.1
152,352,39.2
