,senders,times
0,96,0.1
1,176,0.1
2,272,0.1
3,128,2.8000000000000003
4,192,3.0
5,208,2.7
6,224,2.1
7,256,2.1
8,320,2.3000000000000003
9,16,3.1
10,80,3.9
11,112,3.6
12,160,3.4
13,336,3.8000000000000003
14,48,4.4
15,144,4.4
16,176,4.7
17,240,4.7
18,288,4.6000000000000005
19,64,5.1000000000000005
20,272,6.0
21,32,7.0
22,96,6.9
23,208,7.7
24,224,7.4
25,320,7.2
26,16,8.8
27,256,8.8
28,80,9.4
29,128,9.8
30,144,10.0
31,160,9.3
32,176,9.3
33,192,9.700000000000001
34,240,10.8
35,48,12.0
36,272,11.9
37,288,11.4
38,64,12.700000000000001
39,112,12.1
40,208,12.700000000000001
41,224,12.700000000000001
42,320,12.1
43,96,13.700000000000001
44,176,13.9
45,336,13.200000000000001
46,16,14.5
47,80,14.9
48,32,15.200000000000001
49,144,15.6
50,160,15.200000000000001
51,256,15.5
52,304,15.5
53,128,16.8
54,192,16.4
55,240,16.9
56,320,17.0
57,352,16.2
58,208,17.7
59,224,18.0
60,272,17.8
61,176,18.5
62,288,18.2
63,48,19.6
64,16,20.2
65,64,20.3
66,80,20.400000000000002
67,96,20.5
68,112,20.6
69,144,21.2
70,160,21.1
71,208,22.0
72,256,21.7
73,320,21.5
74,336,21.8
75,32,22.2
76,128,22.5
77,176,22.2
78,192,22.1
79,224,22.3
80,240,22.1
81,272,22.5
82,288,23.2
83,16,24.2
84,48,24.5
85,80,24.3
86,64,25.2
87,96,25.1
88,112,25.900000000000002
89,144,25.1
90,160,25.2
91,176,25.7
92,208,25.6
93,304,25.7
94,320,25.1
95,352,26.0
96,192,26.6
97,224,26.1
98,240,26.3
99,256,26.2
100,272,26.6
101,32,27.3
102,128,27.2
103,288,27.8
104,336,27.6
105,16,28.2
106,80,28.2
107,144,29.0
108,320,28.7
109,48,29.400000000000002
110,96,29.7
111,160,29.3
112,176,29.2
113,208,29.2
114,224,29.900000000000002
115,64,30.1
116,240,30.5
117,256,30.7
118,272,30.7
119,112,31.2
120,128,31.900000000000002
121,192,31.1
122,16,32.2
123,32,32.4
124,80,32.1
125,144,32.9
126,176,32.7
127,208,32.8
128,288,32.4
129,320,32.3
130,160,33.4
131,224,33.7
132,336,33.4
133,48,34.300000000000004
134,64,35.0
135,96,34.300000000000004
136,240,34.7
137,272,34.800000000000004
138,304,34.300000000000004
139,352,34.6
140,80,36.0
141,192,35.6
142,256,35.2
143,320,35.9
144,16,36.2
145,112,36.5
146,128,36.6
147,144,36.800000000000004
148,176,36.2
149,208,36.4
150,288,37.0
151,32,37.5
152,160,37.5
153,224,37.5
154,96,38.9
155,240,38.9
156,272,38.9
157,48,39.2
158,64,39.9
159,80,39.9
160,176,39.7
161,208,40.0
162,256,39.7
163,320,39.5
164,336,39.2
165,16,40.2
166,144,40.7
167,192,40.1
168,224,43.0
169,128,45.0
170,160,46.5
171,176,48.9
172,288,48.9
173,320,51.0
174,208,52.4
175,272,56.300000000000004
176,16,58.0
177,80,57.4
178,144,57.4
179,224,57.7
180,176,58.1
181,240,59.1
182,32,61.800000000000004
183,48,61.800000000000004
184,64,61.800000000000004
185,96,61.300000000000004
186,112,61.7
187,128,61.7
188,160,61.300000000000004
189,192,61.2
190,208,61.6
191,256,61.300000000000004
192,288,61.9
193,320,61.300000000000004
194,16,62.9
195,80,62.6
196,144,62.7
197,176,62.300000000000004
198,224,62.6
199,272,62.6
200,336,62.300000000000004
201,240,63.300000000000004
202,304,64.2
203,320,64.9
204,352,64.3
205,96,65.9
206,160,65.5
207,176,65.8
208,192,65.7
209,208,65.2
210,256,65.8
211,16,66.9
212,32,67.0
213,48,66.7
214,64,66.7
215,80,66.5
216,112,67.0
217,128,66.4
218,144,66.6
219,224,66.4
220,272,66.7
221,288,66.5
222,240,67.5
223,208,68.8
224,320,68.5
225,336,68.1
226,160,69.7
227,176,69.3
228,16,70.9
229,80,70.4
230,96,70.5
231,144,70.5
232,192,70.2
233,224,70.2
234,256,70.3
235,272,70.8
236,48,71.60000000000001
237,64,71.60000000000001
238,128,71.10000000000001
239,240,71.7
240,288,71.10000000000001
241,32,72.2
242,112,72.3
243,176,72.8
244,208,72.4
245,304,72.8
246,320,72.10000000000001
247,352,72.9
248,160,73.9
249,224,74.0
250,336,73.9
251,16,74.9
252,80,74.3
253,144,74.4
254,192,74.7
255,256,74.8
256,272,74.9
257,96,75.10000000000001
258,128,75.8
259,208,76.0
260,240,75.9
261,288,75.7
262,320,75.7
263,48,76.5
264,64,76.5
265,176,76.3
266,32,77.4
267,112,77.60000000000001
268,224,77.8
269,16,78.9
270,80,78.2
271,144,78.3
272,160,78.10000000000001
273,272,79.0
274,96,79.7
275,176,79.8
276,192,79.2
277,208,79.60000000000001
278,256,79.3
279,320,79.3
280,336,79.7
281,128,80.5
282,240,80.10000000000001
283,288,80.3
284,48,82.4
285,64,82.3
286,224,82.7
287,80,84.4
288,144,84.8
289,160,84.8
290,176,85.7
291,320,85.9
292,16,86.8
293,208,86.4
294,32,87.5
295,272,87.3
296,112,89.0
297,192,88.9
298,240,89.0
299,96,89.9
300,256,89.3
301,128,91.0
302,224,90.10000000000001
303,288,90.3
304,176,91.60000000000001
305,80,92.3
306,144,92.8
307,320,92.5
308,160,93.2
309,208,93.2
310,16,95.0
311,48,94.7
312,64,94.5
313,272,95.8
314,336,95.7
315,176,97.5
316,224,97.5
317,240,97.9
318,192,98.60000000000001
319,208,100.0
320,256,99.3
321,320,99.10000000000001
322,32,101.0
323,80,100.2
324,96,100.10000000000001
325,144,100.8
326,288,100.3
327,128,101.3
328,160,101.4
329,16,102.60000000000001
330,112,102.3
331,176,102.9
332,224,103.9
333,272,103.3
334,48,104.9
335,64,104.60000000000001
336,320,104.60000000000001
337,208,105.60000000000001
338,240,105.10000000000001
339,80,106.4
340,192,106.3
341,256,107.0
342,96,108.0
343,144,107.10000000000001
344,176,107.9
345,304,107.2
346,336,107.8
347,160,108.10000000000001
