,senders,times
0,48,0.1
1,16,6.0
2,32,7.0
3,48,6.3
4,48,12.5
5,16,16.5
6,32,18.1
7,48,18.7
8,16,23.900000000000002
9,48,23.1
10,32,24.900000000000002
11,48,27.3
12,16,30.2
13,32,31.2
14,48,31.5
15,48,35.7
16,16,36.5
17,32,37.5
18,48,39.9
19,48,60.2
20,16,62.2
21,32,62.9
22,48,64.5
23,16,68.5
24,48,68.8
25,32,69.3
26,48,73.10000000000001
27,16,74.8
28,32,75.7
29,48,77.4
30,16,81.10000000000001
31,48,83.10000000000001
32,32,89.60000000000001
33,48,92.10000000000001
34,16,99.4
35,48,101.10000000000001
36,32,106.5
37,48,108.2
38,16,112.10000000000001
39,48,115.3
40,32,120.5
41,48,121.7
42,16,122.5
43,48,126.3
44,32,127.60000000000001
45,16,129.5
46,48,130.9
47,32,134.7
48,48,135.5
49,16,136.5
50,48,140.1
51,32,143.4
52,16,147.20000000000002
53,48,147.4
54,48,154.70000000000002
55,32,158.0
56,16,160.3
57,48,161.70000000000002
58,48,167.6
59,32,168.6
60,16,170.1
61,48,173.5
62,32,178.9
63,16,179.9
64,48,179.4
65,48,202.5
66,16,204.6
67,32,205.3
68,48,207.3
69,16,212.1
70,32,213.0
71,48,212.1
72,48,216.9
73,16,219.6
74,32,220.70000000000002
75,48,222.0
76,48,228.0
77,16,229.6
78,32,231.3
79,48,234.0
80,16,239.6
81,48,240.0
82,32,243.8
83,48,248.6
84,16,256.6
85,48,257.2
86,32,261.7
87,48,262.9
88,16,265.1
89,48,267.6
90,32,269.1
91,16,272.4
92,48,272.3
93,32,276.5
94,48,277.0
95,16,279.7
96,48,282.90000000000003
97,48,292.1
98,32,297.40000000000003
99,16,298.8
100,48,301.2
101,48,307.90000000000003
102,16,310.7
103,32,310.7
104,48,314.6
105,48,323.0
106,48,341.7
107,16,344.5
108,32,347.3
109,48,349.0
110,48,356.3
111,16,357.8
112,48,367.3
113,48,380.7
114,16,388.90000000000003
115,48,391.2
116,32,401.3
117,48,401.3
118,16,403.0
119,48,406.1
120,32,409.0
121,16,410.6
122,48,410.90000000000003
123,48,415.7
124,32,416.7
125,16,418.2
126,48,420.5
127,48,430.40000000000003
128,16,438.8
129,48,440.3
130,32,441.6
131,48,446.7
132,16,449.90000000000003
133,32,453.40000000000003
134,48,453.1
135,48,459.5
136,16,460.90000000000003
137,32,462.6
138,48,463.7
139,16,467.1
140,48,467.90000000000003
141,32,468.8
142,48,472.1
143,16,473.3
144,32,475.0
145,48,476.3
146,16,479.5
147,48,480.5
148,32,481.2
149,48,484.7
150,16,485.8
151,32,487.5
152,48,488.90000000000003
153,16,492.1
154,32,493.8
155,48,493.1
156,48,497.3
157,16,498.40000000000003
158,32,500.1
159,48,501.7
160,16,506.0
161,48,506.6
162,32,508.0
163,48,511.5
164,16,513.8
165,32,515.9
166,48,516.4
167,16,521.8
168,48,521.4
169,32,525.3
170,48,527.3
171,16,531.8
172,48,533.2
173,32,535.8
174,48,539.1
175,16,544.0
176,48,549.1
177,48,559.1
178,48,576.6
179,16,581.8000000000001
180,32,582.4
181,48,582.7
182,48,586.9
183,16,588.0
184,32,588.6
185,48,591.1
186,16,594.2
187,32,594.8000000000001
188,48,595.3000000000001
189,48,599.5
190,16,600.4
191,32,601.0
192,48,605.6
193,16,610.8000000000001
194,32,612.0
195,48,611.7
196,48,617.8000000000001
197,48,641.3000000000001
198,16,643.1
199,32,644.3000000000001
200,48,646.7
201,16,651.9
202,48,652.1
203,32,653.4
204,48,657.5
205,16,660.7
206,32,662.1
207,48,662.5
208,48,667.2
209,16,668.1
210,32,669.6
211,48,671.9
212,16,675.5
213,48,676.6
214,32,677.1
215,48,681.4
216,16,683.5
217,32,685.8000000000001
218,48,686.9
219,16,692.4
220,48,692.4
221,32,695.0
222,48,697.9
223,16,701.2
224,32,702.9
225,48,702.6
226,48,706.9
227,16,707.7
228,32,709.4
229,48,711.2
230,16,714.2
231,32,715.9
232,48,715.5
233,48,719.8000000000001
234,16,720.7
235,48,743.0
236,16,746.3000000000001
237,32,746.9
238,48,749.0
239,48,755.0
240,16,756.5
241,32,757.7
242,48,761.0
243,16,767.8000000000001
244,48,767.7
245,32,770.1
246,48,774.4
247,16,779.4
248,48,781.1
249,48,802.4
250,16,804.8000000000001
251,32,805.0
252,48,807.7
253,48,813.0
254,16,813.4
255,32,813.9
256,48,818.3000000000001
257,16,821.7
258,32,822.2
259,48,823.0
260,48,827.5
261,16,828.5
262,32,829.1
263,48,832.0
264,16,835.3000000000001
265,32,836.0
266,48,836.5
267,48,841.0
268,16,842.8000000000001
269,32,844.1
270,48,846.6
271,16,852.0
272,48,852.2
273,32,853.7
274,48,857.8000000000001
275,16,861.4
276,48,867.0
277,48,877.5
278,16,881.6
279,32,881.4
280,48,883.1
281,48,887.6
282,16,888.5
283,32,888.4
284,48,892.1
285,16,895.4
286,32,895.4
287,48,896.6
288,48,901.1
289,16,903.5
290,32,903.8000000000001
291,48,907.3000000000001
292,16,914.0
293,48,913.5
294,32,915.0
295,48,919.7
296,16,924.5
297,48,925.9
298,32,926.2
299,48,932.1
300,16,935.0
301,32,937.4
302,48,938.3000000000001
303,16,943.8000000000001
304,48,943.4
305,32,945.6
306,48,948.2
307,16,951.3000000000001
308,48,953.0
309,32,953.3000000000001
310,48,957.8000000000001
311,16,958.8000000000001
312,32,961.0
313,48,973.3000000000001
314,16,982.8000000000001
315,48,982.4
316,32,983.6
317,48,987.0
318,16,989.9
319,32,990.7
320,48,991.6
321,16,997.0
322,48,996.2
323,32,997.8000000000001
324,48,1000.8000000000001
325,16,1004.8000000000001
326,32,1005.9
327,48,1005.9
328,48,1011.0
329,16,1012.9
330,32,1014.2
331,48,1016.1
332,16,1021.0
333,48,1021.2
334,32,1022.3000000000001
335,48,1025.9
336,16,1028.3
337,32,1029.7
338,48,1030.6
339,16,1035.6
340,48,1035.3
341,32,1037.1
342,48,1040.0
343,48,1054.2
344,16,1061.7
345,32,1062.7
346,48,1062.4
347,48,1067.1
348,16,1068.9
349,32,1070.0
350,48,1071.8
351,16,1076.1
352,48,1076.5
353,32,1077.3
354,48,1081.2
355,48,1095.5
356,48,1121.6000000000001
357,16,1122.9
358,32,1123.7
359,48,1126.1000000000001
360,16,1129.7
361,32,1130.6000000000001
362,48,1130.6000000000001
363,48,1135.1000000000001
364,16,1136.5
365,32,1137.5
366,48,1139.6000000000001
367,16,1143.3
368,32,1144.4
369,48,1144.1000000000001
370,48,1148.6000000000001
371,16,1150.1000000000001
372,32,1151.2
373,48,1153.1000000000001
374,16,1156.9
375,32,1158.0
376,48,1157.6000000000001
377,48,1162.1000000000001
378,16,1163.6000000000001
379,32,1164.8
380,48,1166.5
381,16,1170.3
382,48,1170.9
383,32,1171.6000000000001
384,48,1175.3
385,16,1177.0
386,32,1178.4
387,48,1179.7
388,16,1186.8
389,48,1186.2
390,32,1190.1000000000001
391,48,1192.7
392,16,1198.1000000000001
393,48,1199.2
394,48,1209.3
395,32,1213.4
396,48,1219.4
397,16,1220.2
398,48,1243.0
399,16,1245.5
400,32,1246.2
401,48,1248.3
402,16,1254.0
403,48,1253.6000000000001
404,32,1255.0
405,48,1258.9
406,16,1262.3
407,32,1263.4
408,48,1263.9
409,48,1268.9
410,16,1270.1000000000001
411,32,1271.4
412,48,1273.9
413,16,1277.9
414,48,1278.9
415,32,1279.4
416,48,1283.5
417,16,1285.0
418,32,1286.4
419,48,1288.1000000000001
420,16,1292.0
421,48,1292.7
422,32,1293.4
423,48,1297.3
424,16,1299.0
