,senders,times
0,176,1.9000000000000001
1,192,2.7
2,208,3.1
3,224,3.6
4,16,4.7
5,128,4.5
6,144,4.8
7,240,4.1
8,48,6.0
9,64,5.2
10,112,5.5
11,176,5.8
12,80,6.2
13,96,8.2
14,160,8.700000000000001
15,208,9.0
16,176,9.700000000000001
17,224,9.9
18,240,9.3
19,32,10.6
20,128,10.3
21,192,10.6
22,144,11.700000000000001
23,16,12.8
24,64,12.8
25,112,12.1
26,48,13.3
27,80,13.9
28,176,13.6
29,208,14.9
30,240,14.5
31,128,16.1
32,224,16.2
33,176,17.5
34,112,18.7
35,144,18.6
36,192,18.5
37,240,19.7
38,16,20.900000000000002
39,48,20.6
40,64,20.400000000000002
41,96,20.3
42,208,20.8
43,80,21.400000000000002
44,128,21.5
45,160,21.7
46,176,21.3
47,224,21.8
48,32,22.400000000000002
49,112,23.3
50,144,23.400000000000002
51,192,23.8
52,240,23.400000000000002
53,176,24.3
54,208,24.900000000000002
55,48,25.400000000000002
56,64,25.400000000000002
57,128,25.5
58,16,26.1
59,80,26.3
60,96,27.0
61,224,26.1
62,112,27.7
63,144,28.0
64,176,27.3
65,240,27.1
66,192,28.8
67,208,29.0
68,32,29.8
69,128,29.5
70,160,29.2
71,48,30.2
72,64,30.400000000000002
73,176,30.3
74,224,30.400000000000002
75,240,30.8
76,16,31.3
77,80,31.2
78,112,32.1
79,144,32.6
80,96,33.7
81,128,33.5
82,176,33.3
83,192,33.8
84,208,33.1
85,48,35.0
86,224,34.7
87,240,34.5
88,64,35.4
89,16,36.5
90,80,36.1
91,112,36.5
92,160,36.7
93,176,36.300000000000004
94,32,37.2
95,128,37.5
96,144,37.2
97,208,37.2
98,192,38.800000000000004
99,224,39.0
100,240,38.2
101,48,39.800000000000004
102,176,39.300000000000004
103,64,40.4
104,80,41.0
105,96,40.4
106,112,40.9
107,208,43.9
108,176,47.5
109,128,48.300000000000004
110,240,48.300000000000004
111,176,55.7
112,144,60.7
113,16,61.5
114,48,61.6
115,64,61.6
116,80,62.0
117,112,61.4
118,128,61.6
119,176,61.5
120,192,61.9
121,208,61.4
122,224,61.2
123,240,61.300000000000004
124,32,63.9
125,96,63.5
126,160,63.7
127,176,64.5
128,240,65.0
129,112,65.8
130,128,65.6
131,144,65.3
132,208,65.5
133,224,65.5
134,16,66.7
135,48,66.4
136,64,66.6
137,80,66.9
138,192,66.9
139,176,67.5
140,240,68.7
141,128,69.60000000000001
142,144,69.9
143,208,69.60000000000001
144,224,69.8
145,96,70.2
146,112,70.2
147,176,70.5
148,16,71.9
149,32,71.3
150,48,71.2
151,64,71.60000000000001
152,80,71.8
153,160,71.2
154,192,71.9
155,240,72.4
156,128,73.60000000000001
157,176,73.5
158,208,73.7
159,112,74.60000000000001
160,144,74.5
161,224,74.10000000000001
162,48,76.0
163,64,76.60000000000001
164,80,76.7
165,96,76.9
166,176,76.5
167,192,76.9
168,240,76.10000000000001
169,16,77.10000000000001
170,128,77.60000000000001
171,208,77.8
172,32,78.7
173,112,79.0
174,160,78.7
175,224,78.4
176,144,79.10000000000001
177,176,79.5
178,240,79.8
179,48,80.8
180,128,83.0
181,64,83.2
182,80,83.60000000000001
183,208,83.9
184,176,84.5
185,192,84.9
186,16,86.10000000000001
187,224,86.60000000000001
188,240,87.0
189,112,88.8
190,144,89.60000000000001
191,176,89.5
192,128,91.60000000000001
193,48,92.2
194,208,92.60000000000001
195,64,94.8
196,176,94.5
197,240,94.2
198,224,96.0
199,80,96.3
200,192,97.8
201,16,99.0
202,112,98.8
203,176,99.5
204,96,100.9
205,128,100.2
206,144,100.10000000000001
207,208,101.2
208,240,101.3
209,48,102.7
210,176,103.7
211,224,104.0
212,64,104.7
213,160,105.9
214,32,106.7
215,80,106.2
216,112,106.5
217,128,106.9
218,176,107.9
219,192,107.5
220,208,108.0
221,240,107.10000000000001
222,16,108.5
223,144,108.10000000000001
224,48,111.3
225,224,111.3
226,176,112.10000000000001
227,240,112.9
228,64,113.60000000000001
229,128,113.60000000000001
230,112,114.2
231,208,114.8
232,80,115.4
233,96,116.3
234,144,116.10000000000001
235,176,116.3
236,192,116.9
237,16,118.0
238,224,118.60000000000001
239,240,118.7
240,48,119.9
241,128,120.3
242,176,120.5
243,64,121.7
244,112,121.5
245,160,122.0
246,208,121.3
247,32,122.3
248,80,122.60000000000001
249,144,122.5
250,240,122.9
251,176,123.7
252,192,123.4
253,224,123.4
254,16,124.10000000000001
255,128,124.60000000000001
256,48,125.10000000000001
257,96,125.10000000000001
258,208,125.7
259,112,126.3
260,176,126.9
261,240,126.9
262,64,127.2
263,80,128.0
264,144,127.5
265,224,128.0
266,128,128.9
267,192,128.9
268,16,129.7
269,32,130.7
270,48,130.3
271,160,130.4
272,176,130.1
273,208,130.1
274,240,130.9
275,112,131.1
276,64,132.7
277,96,132.6
278,144,132.5
279,224,132.6
280,80,133.4
281,128,133.2
282,176,133.3
283,192,134.4
284,208,134.5
285,240,134.9
286,16,135.3
287,48,135.5
288,112,135.9
289,176,136.5
290,128,137.5
291,144,137.5
292,224,137.20000000000002
293,64,138.20000000000002
294,80,138.8
295,160,138.8
296,208,138.9
297,240,138.9
298,32,139.1
299,176,139.70000000000002
300,192,139.9
301,16,140.9
302,48,140.70000000000002
303,96,140.1
304,112,140.70000000000002
305,128,142.70000000000002
306,224,142.70000000000002
307,176,144.0
308,144,144.20000000000002
309,240,144.70000000000002
310,208,145.70000000000002
311,64,146.6
312,80,148.0
313,112,148.6
314,176,148.3
315,48,149.5
316,128,149.6
317,192,149.6
318,16,150.70000000000002
319,224,150.20000000000002
320,240,150.70000000000002
321,144,152.4
322,176,152.6
323,208,152.70000000000002
324,64,155.70000000000002
325,96,156.3
326,112,156.5
327,128,156.5
328,176,156.9
329,240,156.70000000000002
330,80,157.5
331,224,157.70000000000002
332,48,158.3
333,160,158.6
334,32,160.0
335,192,159.3
336,208,159.70000000000002
337,16,160.5
338,144,160.6
339,176,161.20000000000002
340,128,162.70000000000002
341,240,162.20000000000002
342,64,163.70000000000002
343,112,163.4
344,224,164.0
345,176,164.9
346,48,165.4
347,80,165.20000000000002
348,208,165.3
349,192,166.70000000000002
350,144,167.1
351,240,167.20000000000002
352,16,168.1
353,96,168.1
354,128,168.3
355,176,168.6
356,112,169.70000000000002
357,224,170.0
358,64,170.9
359,208,170.9
360,160,171.6
361,48,172.3
362,80,172.5
363,176,172.3
364,240,172.20000000000002
365,32,173.1
366,128,173.9
367,144,173.6
368,192,174.1
369,16,175.70000000000002
370,112,176.0
371,176,176.0
372,224,176.0
373,208,176.5
374,240,177.20000000000002
375,64,178.1
376,48,179.20000000000002
377,80,179.8
378,96,179.20000000000002
379,128,179.5
380,176,179.70000000000002
381,144,180.1
382,176,201.4
383,240,201.8
384,64,202.9
385,112,202.6
386,128,202.6
387,144,203.0
388,208,202.3
389,224,202.4
390,16,203.20000000000002
391,48,203.20000000000002
392,80,203.70000000000002
393,192,203.20000000000002
394,176,204.70000000000002
395,96,205.70000000000002
396,160,205.9
397,240,206.0
398,32,206.20000000000002
399,208,206.9
400,112,207.70000000000002
